Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat%(%),VSpd(m/s),Ptch(rad),Roll(rad),Yaw(rad),FM,GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,Rud,Ele,Thr,Ail,P1,SA,SB,SC,SD,SE,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
26/12/2025,12:22:54.660,-22,0,100,13,0,7,100,-19,100,13,12.1,1.5,74,83,0,-0.09,0.41,-1.6,OK,37.241868 -115.800466,0.1,163.1,0,9,0,-1024,2,2,1024,1,-1,-1,-1,-1,0x0000000000000000,1500,1500,990,1500,2012,988,988,988,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
26/12/2025,12:22:56.640,-16,0,100,13,0,7,100,-9,100,13,12.1,1.5,74,83,-1.1,-0.09,0.41,-1.6,OK,37.241868 -115.800466,0.1,163.1,0,9,-1,-1003,2,2,1024,1,-1,-1,-1,-1,0x0000000000000000,1500,1500,1001,1500,2012,988,988,988,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
26/12/2025,12:22:58.640,-28,0,100,13,0,7,100,-22,100,14,12.1,1.5,74,83,-1.1,-0.09,0.41,-1.6,OK,37.241869 -115.800510,0.2,256.2,-2,9,-153,1024,2,2,1024,1,-1,-1,-1,-1,0x0000000000000000,1500,1500,2012,1426,2012,988,988,988,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
26/12/2025,12:23:00.640,-46,0,100,12,0,7,100,-41,100,13,12.1,8.1,78,82,-1.1,-0.09,0.41,-1.6,OK,37.241869 -115.800510,0.2,256.2,-2,9,1,299,-1,2,1024,1,-1,-1,-1,-1,0x0000000000000000,1500,1500,1651,1500,2012,988,988,988,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
26/12/2025,12:23:02.640,-54,0,98,12,0,7,100,-41,100,12,12.1,8.1,78,82,-1.1,-0.04,-0.03,1.28,ANGL,37.241869 -115.800510,0.2,256.2,-2,9,0,299,6,1,1024,1,-1,-1,-1,-1,0x0000000000000000,1500,1500,1651,1500,2012,988,988,988,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
26/12/2025,12:23:04.640,-50,0,100,12,0,7,100,-44,100,13,12.1,8.1,78,82,0.3,-0.04,-0.03,1.28,ANGL,37.241869 -115.800510,0.2,256.2,-2,9,1,298,2,4,1024,1,-1,-1,-1,-1,0x0000000000000000,1501,1500,1651,1500,2012,988,988,988,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
26/12/2025,12:23:06.640,-51,0,100,12,0,7,100,-43,100,12,12.1,3.9,87,82,0.3,-0.04,-0.03,1.28,ANGL,37.242032 -115.801467,51.2,70.6,5,9,1,298,-7,8,1024,1,-1,-1,-1,-1,0x0000000000000000,1503,1500,1651,1500,2012,988,988,988,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
26/12/2025,12:23:08.640,-52,0,99,13,0,7,100,-47,100,12,12.1,3.9,87,82,0.3,-0.05,-0.01,1.13,ANGL,37.242032 -115.801467,51.2,70.6,5,9,1,298,-7,5,1024,1,-1,-1,-1,-1,0x0000000000000000,1501,1500,1651,1500,2012,988,988,988,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
26/12/2025,12:23:10.640,-53,0,98,12,0,7,100,-47,100,13,12.1,3.9,87,82,1.5,-0.05,-0.01,1.13,ANGL,37.242032 -115.801467,51.2,70.6,5,9,1,298,-215,-10,507,1,-1,-1,-1,-1,0x0000000000000000,1500,1395,1651,1500,2012,988,988,988,1753,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
26/12/2025,12:23:12.640,-55,0,99,13,0,7,100,-50,100,13,12.1,3.9,87,82,1.5,-0.05,-0.01,1.13,ANGL,37.242374 -115.802855,51.6,63.1,15,9,1,143,-235,-385,507,1,-1,-1,-1,-1,0x0000000000000000,1315,1385,1573,1500,2012,988,988,988,1753,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
